size,repository_url,name,owner
630460,https://github.com/chadouming/smoocha,smoocha,chadouming
626685,https://github.com/oldlaptop/uqm-crossbuilder,uqm-crossbuilder,oldlaptop
623968,https://github.com/isdes/vim,vim,isdes
623144,https://github.com/westcripp/frameworks_base,frameworks_base,westcripp
616984,https://github.com/SamueleCiprietti/android_frameworks_base,android_frameworks_base,SamueleCiprietti
612742,https://github.com/phenoscape/Phenex,Phenex,phenoscape
611092,https://github.com/NCIP/catissue-simple-query,catissue-simple-query,NCIP
606356,https://github.com/NCIP/catissue-security-manager,catissue-security-manager,NCIP
605009,https://github.com/bitovi/javascriptmvc,javascriptmvc,bitovi
601000,https://github.com/t3dev/openerp-addons,openerp-addons,t3dev
596428,https://github.com/droidraz/android_frameworks_base,android_frameworks_base,droidraz
596056,https://github.com/dedyk/JaponskiPomocnik,JaponskiPomocnik,dedyk
591644,https://github.com/sad96/kisadworx_kernel_apollo,kisadworx_kernel_apollo,sad96
583546,https://github.com/orbeon/orbeon-forms,orbeon-forms,orbeon
576196,https://github.com/josephramsay/LDS,LDS,josephramsay
555099,https://github.com/nhnopensource/ngrinder,ngrinder,nhnopensource
548436,https://github.com/shiva2110/taggable-player,taggable-player,shiva2110
548416,https://github.com/horde/horde,horde,horde
548416,https://github.com//horde,horde,
547704,https://github.com/lyfkevin/lge-kernel-iproj,lge-kernel-iproj,lyfkevin
543984,https://github.com/Azzzmo/PaybackTime,PaybackTime,Azzzmo
543450,https://github.com/graniteds/graniteds,graniteds,graniteds
542432,https://github.com/valkyriesavage/midas,midas,valkyriesavage
542340,https://github.com/McMatze42/CoinSnap,CoinSnap,McMatze42
539836,https://github.com/socialize/socialize-sdk-android,socialize-sdk-android,socialize
535716,https://github.com/MoKee/android_kernel_lge_iproj,android_kernel_lge_iproj,MoKee
531588,https://github.com/bfritz/fusionpbx,fusionpbx,bfritz
528756,https://github.com/Henri1992/AndroidRepo,AndroidRepo,Henri1992
527768,https://github.com/Kayant/Central_vendor_4.2,Central_vendor_4.2,Kayant
525396,https://github.com/BytecodeMe/vanquish,vanquish,BytecodeMe
519780,https://github.com/Ntemis/NOF-Nemesis,NOF-Nemesis,Ntemis
