id size repository_url name owner
93 689409 https://github.com/puppetlabs/Razor-Microkernel Razor-Microkernel puppetlabs
94 686092 https://github.com/wrvangeest/Context Context wrvangeest
95 684280 https://github.com/joebell/laserTrack2 laserTrack2 joebell
96 674008 https://github.com/LewisLim579/2013TeamProject 2013TeamProject LewisLim579
97 666796 https://github.com/lattera/freebsd freebsd lattera
98 666636 https://github.com/LibiSC/francokernelmakoprimadrivers francokernelmakoprimadrivers LibiSC
99 666045 https://github.com/hetcomp/tinia tinia hetcomp
100 662460 https://github.com/ezsystems/ezpublish-legacy ezpublish-legacy ezsystems
101 660208 https://github.com/igaiga/hitotsubashi-ruby-2013 hitotsubashi-ruby-2013 igaiga
102 657624 https://github.com/MoKee/android_kernel_lge_mako android_kernel_lge_mako MoKee
103 649472 https://github.com/jorgemmsilva/DJCO-OMEGACLASH DJCO-OMEGACLASH jorgemmsilva
104 649048 https://github.com/SaberMod/samsung_kernel_manta samsung_kernel_manta SaberMod
105 645620 https://github.com/sgjava/byoc byoc sgjava
106 634288 https://github.com/mono/mono mono mono
107 633544 https://github.com/kimbushik/INNO_SRC INNO_SRC kimbushik
108 633244 https://github.com/maddoggin/platform_packages_apps_Settings platform_packages_apps_Settings maddoggin
109 633050 https://github.com/vivo-project/Vitro Vitro vivo-project
110 632692 https://github.com/FirstAdvantage/InitialGraphics InitialGraphics FirstAdvantage
111 632568 https://github.com/raspberrypi/linux linux raspberrypi
112 630460 https://github.com/chadouming/smoocha smoocha chadouming
113 626685 https://github.com/oldlaptop/uqm-crossbuilder uqm-crossbuilder oldlaptop
114 623968 https://github.com/isdes/vim vim isdes
115 623144 https://github.com/westcripp/frameworks_base frameworks_base westcripp
116 616984 https://github.com/SamueleCiprietti/android_frameworks_base android_frameworks_base SamueleCiprietti
117 612742 https://github.com/phenoscape/Phenex Phenex phenoscape
118 611092 https://github.com/NCIP/catissue-simple-query catissue-simple-query NCIP
119 606356 https://github.com/NCIP/catissue-security-manager catissue-security-manager NCIP
120 605009 https://github.com/bitovi/javascriptmvc javascriptmvc bitovi
121 601000 https://github.com/t3dev/openerp-addons openerp-addons t3dev
122 596428 https://github.com/droidraz/android_frameworks_base android_frameworks_base droidraz
123 596056 https://github.com/dedyk/JaponskiPomocnik JaponskiPomocnik dedyk
124 591644 https://github.com/sad96/kisadworx_kernel_apollo kisadworx_kernel_apollo sad96
125 583546 https://github.com/orbeon/orbeon-forms orbeon-forms orbeon
126 576196 https://github.com/josephramsay/LDS LDS josephramsay
127 555099 https://github.com/nhnopensource/ngrinder ngrinder nhnopensource
128 548436 https://github.com/shiva2110/taggable-player taggable-player shiva2110
129 548416 https://github.com/horde/horde horde horde
130 548416 https://github.com//horde horde 
131 547704 https://github.com/lyfkevin/lge-kernel-iproj lge-kernel-iproj lyfkevin
132 543984 https://github.com/Azzzmo/PaybackTime PaybackTime Azzzmo
133 543450 https://github.com/graniteds/graniteds graniteds graniteds
134 542432 https://github.com/valkyriesavage/midas midas valkyriesavage
135 542340 https://github.com/McMatze42/CoinSnap CoinSnap McMatze42
136 539836 https://github.com/socialize/socialize-sdk-android socialize-sdk-android socialize
137 535716 https://github.com/MoKee/android_kernel_lge_iproj android_kernel_lge_iproj MoKee
138 531588 https://github.com/bfritz/fusionpbx fusionpbx bfritz
139 528756 https://github.com/Henri1992/AndroidRepo AndroidRepo Henri1992
